"tool_squareness","tool_symmetry","tool_convexity","tool_eccentricity","obj_circleness","action","effect_X","effect_Y"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","H","push","VP","NM"
"L","L","L","ML","H","tap_from_left","NM","VN"
"L","L","L","ML","H","tap_from_right","NM","VP"
"L","L","L","ML","H","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","VP","NM"
"L","L","L","ML","MH","tap_from_left","LP","LN"
"L","L","L","ML","MH","tap_from_right","LP","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"L","L","L","ML","MH","push","LP","NM"
"L","L","L","ML","MH","tap_from_left","NM","LN"
"L","L","L","ML","MH","tap_from_right","NM","LP"
"L","L","L","ML","MH","pull","VN","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_left","NM","VN"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_left","NM","VN"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_left","NM","VN"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_left","NM","VN"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","H","push","VP","NM"
"ML","ML","ML","ML","H","tap_from_left","NM","NM"
"ML","ML","ML","ML","H","tap_from_right","NM","LP"
"ML","ML","ML","ML","H","pull","NM","NM"
"ML","ML","ML","ML","MH","push","VP","NM"
"ML","ML","ML","ML","MH","tap_from_left","LP","LN"
"ML","ML","ML","ML","MH","tap_from_right","LP","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","VP","NM"
"ML","ML","ML","ML","MH","tap_from_left","LP","LN"
"ML","ML","ML","ML","MH","tap_from_right","LP","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","VP","NM"
"ML","ML","ML","ML","MH","tap_from_left","LP","LN"
"ML","ML","ML","ML","MH","tap_from_right","LP","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","VP","NM"
"ML","ML","ML","ML","MH","tap_from_left","LP","LN"
"ML","ML","ML","ML","MH","tap_from_right","LP","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","VP","NM"
"ML","ML","ML","ML","MH","tap_from_left","LP","LN"
"ML","ML","ML","ML","MH","tap_from_right","LP","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","VP","NM"
"ML","ML","ML","ML","MH","tap_from_left","LP","LN"
"ML","ML","ML","ML","MH","tap_from_right","LP","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","VP","NM"
"ML","ML","ML","ML","MH","tap_from_left","LP","LN"
"ML","ML","ML","ML","MH","tap_from_right","LP","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","VP","NM"
"ML","ML","ML","ML","MH","tap_from_left","LP","LN"
"ML","ML","ML","ML","MH","tap_from_right","LP","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","LP","NM"
"ML","ML","ML","ML","MH","tap_from_left","NM","LN"
"ML","ML","ML","ML","MH","tap_from_right","NM","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","LP","NM"
"ML","ML","ML","ML","MH","tap_from_left","NM","LN"
"ML","ML","ML","ML","MH","tap_from_right","NM","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","LP","NM"
"ML","ML","ML","ML","MH","tap_from_left","NM","LN"
"ML","ML","ML","ML","MH","tap_from_right","NM","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","LP","NM"
"ML","ML","ML","ML","MH","tap_from_left","NM","LN"
"ML","ML","ML","ML","MH","tap_from_right","NM","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","LP","NM"
"ML","ML","ML","ML","MH","tap_from_left","NM","LN"
"ML","ML","ML","ML","MH","tap_from_right","NM","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","LP","NM"
"ML","ML","ML","ML","MH","tap_from_left","NM","LN"
"ML","ML","ML","ML","MH","tap_from_right","NM","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","LP","NM"
"ML","ML","ML","ML","MH","tap_from_left","NM","LN"
"ML","ML","ML","ML","MH","tap_from_right","NM","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"ML","ML","ML","ML","MH","push","LP","NM"
"ML","ML","ML","ML","MH","tap_from_left","NM","LN"
"ML","ML","ML","ML","MH","tap_from_right","NM","LP"
"ML","ML","ML","ML","MH","pull","NM","NM"
"L","ML","L","H","H","push","VP","NM"
"L","ML","L","H","H","tap_from_left","LP","NM"
"L","ML","L","H","H","tap_from_right","LP","NM"
"L","ML","L","H","H","pull","LN","NM"
"L","ML","L","H","H","push","LP","NM"
"L","ML","L","H","H","tap_from_left","LP","NM"
"L","ML","L","H","H","tap_from_right","LP","NM"
"L","ML","L","H","H","pull","LN","NM"
"L","ML","L","H","H","push","VP","NM"
"L","ML","L","H","H","tap_from_left","LP","NM"
"L","ML","L","H","H","tap_from_right","LP","NM"
"L","ML","L","H","H","pull","LN","NM"
"L","ML","L","H","H","push","VP","NM"
"L","ML","L","H","H","tap_from_left","LP","NM"
"L","ML","L","H","H","tap_from_right","LP","NM"
"L","ML","L","H","H","pull","LN","NM"
"L","ML","L","H","H","push","LP","NM"
"L","ML","L","H","H","tap_from_left","LP","NM"
"L","ML","L","H","H","tap_from_right","LP","NM"
"L","ML","L","H","H","pull","LN","NM"
"L","ML","L","H","H","push","VP","NM"
"L","ML","L","H","H","tap_from_left","LP","NM"
"L","ML","L","H","H","tap_from_right","LP","NM"
"L","ML","L","H","H","pull","LN","NM"
"L","ML","L","H","H","push","VP","NM"
"L","ML","L","H","H","tap_from_left","LP","NM"
"L","ML","L","H","H","tap_from_right","LP","NM"
"L","ML","L","H","H","pull","LN","NM"
"L","ML","L","H","H","push","VP","NM"
"L","ML","L","H","H","tap_from_left","LP","NM"
"L","ML","L","H","H","tap_from_right","LP","NM"
"L","ML","L","H","H","pull","LN","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","VP","NM"
"L","ML","L","H","MH","pull","LN","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","VP","NM"
"L","ML","L","H","MH","pull","LN","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","VP","NM"
"L","ML","L","H","MH","pull","LN","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","VP","NM"
"L","ML","L","H","MH","pull","LN","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","VP","NM"
"L","ML","L","H","MH","pull","LN","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","VP","NM"
"L","ML","L","H","MH","pull","LN","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","VP","NM"
"L","ML","L","H","MH","pull","LN","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","VP","NM"
"L","ML","L","H","MH","pull","LN","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","NM","LP"
"L","ML","L","H","MH","pull","NM","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","NM","LP"
"L","ML","L","H","MH","pull","NM","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","NM","LP"
"L","ML","L","H","MH","pull","NM","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","NM","LP"
"L","ML","L","H","MH","pull","NM","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","NM","LP"
"L","ML","L","H","MH","pull","NM","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","NM","LP"
"L","ML","L","H","MH","pull","NM","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","NM","LP"
"L","ML","L","H","MH","pull","NM","NM"
"L","ML","L","H","MH","push","LP","NM"
"L","ML","L","H","MH","tap_from_left","NM","LN"
"L","ML","L","H","MH","tap_from_right","NM","LP"
"L","ML","L","H","MH","pull","NM","NM"
"H","MH","H","L","H","push","VP","NM"
"H","MH","H","L","H","tap_from_left","NM","VN"
"H","MH","H","L","H","tap_from_right","NM","LP"
"H","MH","H","L","H","pull","NM","NM"
"H","MH","H","L","H","push","VP","NM"
"H","MH","H","L","H","tap_from_left","NM","VN"
"H","MH","H","L","H","tap_from_right","NM","LP"
"H","MH","H","L","H","pull","NM","NM"
"H","MH","H","L","H","push","VP","NM"
"H","MH","H","L","H","tap_from_left","NM","VN"
"H","MH","H","L","H","tap_from_right","NM","LP"
"H","MH","H","L","H","pull","NM","NM"
"H","MH","H","L","H","push","VP","NM"
"H","MH","H","L","H","tap_from_left","NM","VN"
"H","MH","H","L","H","tap_from_right","NM","LP"
"H","MH","H","L","H","pull","NM","NM"
"H","MH","H","L","H","push","VP","NM"
"H","MH","H","L","H","tap_from_left","NM","VN"
"H","MH","H","L","H","tap_from_right","NM","LP"
"H","MH","H","L","H","pull","NM","NM"
"H","MH","H","L","H","push","VP","NM"
"H","MH","H","L","H","tap_from_left","NM","VN"
"H","MH","H","L","H","tap_from_right","NM","LP"
"H","MH","H","L","H","pull","NM","NM"
"H","MH","H","L","H","push","VP","NM"
"H","MH","H","L","H","tap_from_left","NM","VN"
"H","MH","H","L","H","tap_from_right","NM","LP"
"H","MH","H","L","H","pull","NM","NM"
"H","MH","H","L","H","push","VP","NM"
"H","MH","H","L","H","tap_from_left","NM","VN"
"H","MH","H","L","H","tap_from_right","NM","LP"
"H","MH","H","L","H","pull","NM","NM"
"H","MH","H","L","MH","push","VP","NM"
"H","MH","H","L","MH","tap_from_left","LP","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","VP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","VP","NM"
"H","MH","H","L","MH","tap_from_left","LP","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","VP","NM"
"H","MH","H","L","MH","tap_from_left","LP","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","VP","NM"
"H","MH","H","L","MH","tap_from_left","LP","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","VP","NM"
"H","MH","H","L","MH","tap_from_left","LP","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","VP","NM"
"H","MH","H","L","MH","tap_from_left","LP","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","VP","NM"
"H","MH","H","L","MH","tap_from_left","LP","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
"H","MH","H","L","MH","push","LP","NM"
"H","MH","H","L","MH","tap_from_left","NM","LN"
"H","MH","H","L","MH","tap_from_right","NM","LP"
"H","MH","H","L","MH","pull","NM","NM"
